Trial Type,Data Points,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
worst,100,0.005921,0.005921,0.014605,0.005921,0.005921,=AVERAGE(C2:G2)
worst,1000,0.324074,0.344599,0.35170399999999996,0.373019,0.376967,=AVERAGE(C3:G3)
worst,10000,32.367061,31.919438,31.399973,32.357586999999995,32.072987,=AVERAGE(C4:G4)
worst,50000,801.926124,798.538552,789.7127869999999,802.902685,845.689432,=AVERAGE(C5:G5)
worst,100000,3197.847696,3198.268478,3181.199568,3368.125878,3313.701311,=AVERAGE(C6:G6)
worst,200000,12817.471376,12797.70725,12931.335948,13004.158479,13061.204053,=AVERAGE(C7:G7)
worst,300000,29007.937228,28841.952918,30708.135935,28991.227522999998,28878.889372999998,=AVERAGE(C8:G8)
worst,400000,51505.375825999996,53677.158719,51872.059361,51711.817976,51457.873638,=AVERAGE(C9:G9)
worst,500000,80768.665,83037.090004,82705.743873,81673.029449,81246.799333,=AVERAGE(C10:G10)

best,100,0.043815,0.001184,0.0015789999999999999,0.001578,0.001184,=AVERAGE(C12:G12)
best,1000,0.324862,0.005921,0.003552,0.0035529999999999997,0.0043419999999999995,=AVERAGE(C13:G13)
best,10000,4.221241,0.064736,0.031578,0.038289,0.036315,=AVERAGE(C14:G14)
best,50000,8.397484,0.200128,0.160655,0.261706,0.189076,=AVERAGE(C15:G15)
best,100000,0.38762399999999997,0.559333,1.02985,0.329599,0.317363,=AVERAGE(C16:G16)
best,200000,0.921694,0.7563019999999999,0.645778,0.710119,0.713672,=AVERAGE(C17:G17)
best,300000,2.013911,1.9104919999999999,1.0701129999999999,1.039324,1.092612,=AVERAGE(C18:G18)
best,400000,1.4656319999999998,1.462869,1.617208,1.416291,1.454974,=AVERAGE(C19:G19)
best,500000,4.102823,1.844967,1.8729939999999998,1.954308,2.185224,=AVERAGE(C20:G20)

average,100,0.005526,0.005526,0.010263,0.005526,0.005526,=AVERAGE(C22:G22)
average,1000,0.174865,0.174865,0.174866,0.17526,0.18670799999999999,=AVERAGE(C23:G23)
average,10000,16.398657999999998,17.022332,16.112084,16.231293,16.417605,=AVERAGE(C24:G24)
average,50000,409.39962399999996,400.201233,398.917572,402.728294,400.824117,=AVERAGE(C25:G25)
average,100000,1597.5882789999998,1631.0669,1607.3171869999999,1612.924325,1595.5475259999998,=AVERAGE(C26:G26)
average,200000,6614.665083999999,6434.659968,6398.769942999999,6377.139139999999,6399.483615,=AVERAGE(C27:G27)
average,300000,14783.017773,14546.149844,14405.056411,14403.364993,14601.088743999999,=AVERAGE(C28:G28)
average,400000,26534.137819,25641.080406999998,25787.962553999998,25795.548474,25709.573542,=AVERAGE(C29:G29)
average,500000,40886.078193,40610.769099,40432.135275,40287.845714999996,40106.819433,=AVERAGE(C30:G30)

